System,Name,,Flags,,Cardinality,Type,example,Description & Constraints,,,,,,
,,    line, SΣ,,0..*,string,,полные адрес + почтовые индексы ,,,,,,
Махалля,,    city, SΣ,,0..1,string,Буюк ипак йули МФЙ,Mahalla code (citizens' assembly),,,,,,
,,,,,,,,Привязка: MahallaVS (0.4.0) (required),,,,,,
Район,,    district, SΣ,,0..1,string,Мирзо Улугбекский район,District or city code,,,,,,
,,,,,,,,Привязка: RegionsVS (0.4.0) (required),,,,,,
Область,,    state, SΣ,,0..1,string,Город Ташкент,Region code,,,,,,
,,,,,,,,Привязка: StateVS (0.4.0) (required),,,,,,
Почтовый индекс,,    postalCode,Σ,,0..1,string,,Почтовый индекс,,,,,,
,,    country, SΣ,,1..1,string,,Country code (ISO 3166-1 2 letter code),,,,,,
,,    period, SΣ,,0..1,period,,,,,,,,
