CODE,UZ,RU,EN
9101, Бошқа муртак ҳужайрали элементлар билан қўшилган хориокарцинома                          ,Хориокарцинома в сочетании с др.зародышевоклеочными элементами ,
9102, Хавфли трофобластик тератома,Тератома злокачественная трофобластическая ,
9105, Эпилоид трофобластик ўсма,Опухоль трофобластическая эпителиоидная ,
9110, Хавфли мезонефрома,Мезонефрома злокачественная ,
9120, Гемангиосаркома,Гемангиосаркома ,
9124, Купфер ҳужайраларидан чиққан саркома,Саркома из купферовых клеток ,
9130, Хавфли гемангиоэндотелиома,Гемангиоэндотелиома злокачественная ,
9133, Хавфли эпилоид гемангиоэндотелиома,Гемангиоэндотелиома эпителиоидная злокачественная ,
9140, Капоши саркомаси,Саркома Капоши ,
9150, Хавфли гемангиоперицитома,Гемангиоперицитома злокачественная ,
9170, Лимфангиосаркома,Лимфангиосаркома ,
9180, Остеосаркома ҚА,Остеосаркома БДУ ,
9181, Хондробластик остеосаркома ,Остеосаркома хондробластическая ,
9182, Фибробластик остеосаркома,Остеосаркома фибробластическая ,
9183, Телеангиэктатик остеосаркома,Остеосаркома телеангиэктатическая ,
9184, Суякларнинг Педжет касаллигидаги остеосаркома ,Остеосаркома при болезни Педжета костей ,
9185, Майда ҳужайрали остеосаркома,Остеосаркома мелкоклеточная ,
9186, Марказий остеосаркома,Остеосаркома центральная ,
9187, Юқори дифференциаллашган суяк ичи остеосаркомаси,Остеосаркома внутрикостная высокодифференцированная ,
9192, Юкстакортикал (паростеал) остеосаркома,Остеосаркома юкстакортикальная (паростеальная) ,
9193, Периостал остеосаркома,Остеосаркома периостальная ,
9194, Юқори градацияли юзакиостеосаркома,Остеосаркома поверхностная высокой градации ,
9195, Кортикал ичи (интракортикал) остеосаркомаси,Остеосаркома внутрикортикальная (интракортикальная) ,
9220, Хондросаркома ҚА,Хондросаркома БДУ ,
9221, Юкстакортикал хондросаркома,Хондросаркома юкстакортикальная ,
9230, Хавфли хондробластома,Хондробластома злокачественная ,
9231, Миксоид хондросаркома,Хондросаркома миксоидная ,
9240, Мезенхимал хондросаркома,Хондросаркома мезенхимальная ,
9242, Аниқ ҳужайрали хондросаркома,Хондросаркома светлоклеточная ,
9243, Дедифференциаллашган хондросаркома,Хондросаркома дедифференцированная ,
9250, Суяк хавфли йирик ҳужайрали ўсмаси,Опухоль гигантоклеточная кости злокачеств. ,
9251, Юмшоқ тўқима хавфли йирик ҳужайрали ўсмаси,Опухоль гигантоклеточная мягкотканная злокачеств. ,
