CODE,UZ,RU,EN
C548, бачадон танасининг кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов тела матки      ,
C549, бачадон танаси,тело матки          ,
55, бачадон                                          ,матка ,
C559, бачадон ҚА,матка БДУ          ,
56, тухумдон                                         ,яичник ,
C569, тухумдон,яичник           ,
57, аёлларнинг бошқа жинсий аъзолари                      ,др.женские половые органы ,
C570, фаллопиев найи,труба фаллопиева          ,
C571, бачадон кенг бойлами,матки широкая связка         ,
C572, бачадон юмалоқ бойлами,матки круглая связка         ,
C573, параметрий,параметрий           ,
C574, бачадон ортиқлари,придаток матки          ,
C577, аёллар жинсий аъзоларининг бошқа соҳалари ,др.отделы женских половых органов        ,
C578, аёллар кўплаб жинсий аъзоларининг зарарланиши,поражение нескольких женских половых органов       ,
C579, аёллар жинсий аъзолари ҚА,женские половые органы БДУ        ,
58, плацента (йўлдош),плацента ,
C589, плацента (йўлдош),плацента           ,
60, жинсий олат                                  ,половой член ,
C600, жинсий олат чека кертмаги,полового члена крайняя плоть        ,
C601, жинсий олат бошчаси,полового члена головка         ,
C602, жинсий олат танаси,полового члена тело         ,
C608, жинсий олат кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов полового члена      ,
C609, жинсий олат ҚА,половой член БДУ         ,
61, простата бези                          ,предстательная железа ,
C619, простата бези,предстательная железа          ,
62, мояк                                          ,яичко ,
C620, ёрғоққа тушмаган мояк,яичко неопустившееся          ,
C621, ёрғоққа тушган мояк,яичко опустившееся          ,
C629, мояк ҚА,яичко БДУ          ,
63, эркакларнинг бошқа жинсий аъзолари                     ,др.мужские половые органы ,
C630, моякнинг ортиқлари,придаток яичка          ,
C631, уруғ тизимчаси,семенной канатик          ,
C632, ёрғоқ ҚА,мошонка БДУ          ,
C637, эркаклар жинсий аъзоларининг бошқа соҳалари,др.отделы мужских половых органов        ,
C638, эркаклар кўплаб жинсий аъзоларининг зарарланиши,поражение несколькихмужских половых органов        ,
C639, эркаклар жинсий аъзолари ҚА ,мужские половые органы БДУ        ,
64, буйрак                                          ,почка ,
C649, буйрак,почка           ,
65, буйрак жоми                              ,почечная лоханка ,
C659, буйрак жоми,почечная лоханка          ,
66, сийдик найи                                     ,мочеточник ,
C669, сийдик найи,мочеточник           ,
67, сийдик қопи                               ,мочевой пузырь ,
C670, сийдик пуфаги учбурчаги ,мочевого пузыря треугольник         ,
C671, сийдик пуфаги гумбази,мочевого пузыря купол         ,
C672, сийдик пуфаги ён девори,мочевого пузыря боковая стенка        ,
C673, сийдик пуфаги олд девори,мочевого пузыря передняя стенка        ,
C674, сийдик пуфаги орқа девори,мочевого пузыря задняя стенка        ,
C675, сийдик пуфаги бўйинчаси ,мочевого пузыря шейка         ,
C676, сийдик найи тешиги,устье мочеточника          ,
C677, урахус (бирламчи сийдик йўли),урахус (проток первичный мочевой)        ,
C678, сийдик пуфагининг кўплаб қисмларининг қўшма зарарланиши ,поражение неск-ких смежных отделов мочевого пузыря      ,
C679, сийдик пуфаги ҚА,мочевой пузырь БДУ         ,
68, бошқа сийдик аъзолари                             ,др.мочевые органы ,
C680, сийдик канали,канал мочеиспускательный          ,
C681, парауретрал без,железа парауретральная          ,
C688, кўплаб айириш аъзоларининг зарарланиши,поражение нескольких мочевых органов        ,
C689, айириш аъзолари ҚА,мочевыделительная система БДУ         ,
69,глаз , кўз                                          ,
C690, конъюнктива,конъюнктива           ,
C691, шох парда ҚА,роговица БДУ          ,
C692, тўр парда ҚА,сетчатка           ,
C693, кўз томирли пардаси,глаза сосудистая оболочка         ,
C694, кўз киприксимон танаси,глаза ресничное тело         ,
C695, ёш бези ҚА,слезная железа БДУ         ,
C696, кўз косаси ҚА,глазница БДУ          ,
C698, кўзнинг кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов глаза       ,
C699, кўз ҚА,глаз БДУ          ,
70, мия пардаси                                 ,оболочка мозга ,
C700, бош мия пардаси,оболочка головного мозга         ,
C701, орқа мия пардаси,оболочка спинного мозга         ,
C709, мия пардаси ҚА,оболочка мозга БДУ         ,
71, бош мия                                 ,головной мозг ,
C710, катта мия (бўлма ва қоринчалардан ташқари),большой мозг (кроме долей и желудочков)      ,
C711, миянинг пешона бўлмаси,лобная доля мозга         ,
C712, миянинг чакка бўлмаси,височная доля мозга         ,
C713, миянинг тепа бўлмаси,теменная доля мозга         ,
C714, миянинг энса бўлмаси,затылочная доля мозга         ,
C715, мия қоринчалари ҚА,желудочек мозга БДУ         ,
C716, мияча,мозжечок           ,
C717, бош мия устуни,ствол головного мозга         ,
C718, бош миянинг кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов головного мозга      ,
C719, бош мия ҚА,головной мозг БДУ         ,
72, орқа мия ва МАТнинг бошқа қисмлари                         ,спинной мозг и др.ЦНС ,
C720, орқа мия,спинной мозг          ,
C721, от думи,конский хвост          ,
C722, ҳид сезиш нерви,обонятельный нерв          ,
C723, кўрув нерви,зрительный нерв          ,
C724, эшитиш нерви,слуховой нерв          ,
C725, бош мия нерви,черепномозговой нерв          ,
C728, мия ва МАТнинг кўплаб қисмларининг зарарланиши,поражение неск-ких отделов мозга и ЦНС      ,
C729, МАТ ҚА,ЦНС БДУ          ,
73, қалқонсимон без                             ,щитовидная железа ,
C739, қалқонсимон без,щитовидная железа          ,
74, буйрак усти бези                                   ,надпочечник ,
C740, буйрак усти бези пўстлоғи,кора надпочечника          ,
C741, буйрак усти бези мия (мағиз) қавати,мозговое вещество надпочечника         ,
